ticker,date,signal,category,price,sector,ret_1d,ret_2d,ret_3d,ret_5d,ret_7d,ret_14d,ret_30d,ret_60d,ret_intraday
SCMA,2024-09-06,Stochastic Deeply Oversold,Scalp,451.38,Communication Services,-0.15,-0.5829,-0.5829,0.2829,-0.15,0.7158,-0.15,-5.3448,
SCMA,2024-09-09,Stochastic Oversold + Naik,Scalp,451.38,Communication Services,-0.5829,-0.5829,-0.5829,-0.15,-0.15,0.7158,-0.5829,-5.7777,
SCMA,2024-09-25,MACD Crossover Bullish,Swing,453.33,Communication Services,-1.4212,-1.4212,-1.4212,-2.2686,-2.6924,-2.2686,-2.2686,-13.2856,
SCMA,2024-09-27,RSI Recovery Diam-diam,Pre-ARA,453.33,Communication Services,-0.15,-0.5792,-1.0084,-1.4376,-1.4376,-1.0084,-1.4376,-11.3088,
SCMA,2024-10-07,Stochastic Deeply Oversold,Scalp,449.43,Communication Services,-0.5829,-0.5829,0.2829,-0.5829,-0.5829,1.1487,-2.7474,-10.9725,
SCMA,2024-10-08,Stochastic Oversold + Naik,Scalp,451.38,Communication Services,-0.15,0.7196,0.2848,0.2848,0.2848,0.7196,-3.6283,-11.0196,
SCMA,2024-10-09,Candle Compression,Pre-ARA,451.38,Communication Services,0.7196,0.2848,-0.15,-0.15,0.7196,2.0239,-4.4978,-11.0196,
SCMA,2024-10-17,Volume Spike Sideways,Akumulasi,449.43,Communication Services,0.2829,-0.15,-0.5829,-0.5829,0.2829,-0.15,-4.9119,-17.0331,
SCMA,2024-10-17,Volume Meledak,Pre-ARA,449.43,Communication Services,0.2829,-0.15,-0.5829,-0.5829,0.2829,-0.15,-4.9119,-17.0331,
SCMA,2024-10-21,MACD Crossover Bullish,Swing,451.38,Communication Services,-0.5829,-0.15,-0.5829,0.2829,0.7158,-0.5829,-5.3448,-16.1673,
SCMA,2024-10-28,MACD Crossover Bullish,Swing,457.24,Communication Services,1.1431,0.281,-0.15,0.7121,-0.581,-2.3052,-7.0466,-16.9603,
